fips,location,year,type,age,sex,count,population,rate,unstable,ci,lci,uci
27000,Minnesota,2010-2014,Acute myeloid leukemia,All Ages,All,1360,26898172,4.7,FALSE,(4.4 - 4.9),4.4,4.9
27000,Minnesota,2015-2019,All cancer types combined,All Ages,All,153700,27816887,463.8,FALSE,(461.4 - 466.1),461.4,466.1
27000,Minnesota,2010-2014,All cancer types combined,All Ages,All,137675,26898172,459,FALSE,(456.5 - 461.5),456.5,461.5
27001,Aitkin,2010-2014,Esophagus,All Ages,All,5,80137,4.4 (UR),TRUE,(1.0 - 12.9),1,12.9
27001,Aitkin,2010-2014,All cancer types combined,All Ages,All,664,80137,438.9,FALSE,(402.1 - 479.0),402.1,479
27001,Aitkin,2010-2014,Lung and bronchus,All Ages,All,99,80137,60.7,FALSE,(48.5 - 76.2),48.5,76.2
27001,Aitkin,2010-2014,Pancreas,All Ages,All,25,80137,14.3,FALSE,(9.1 - 23.1),9.1,23.1
27001,Aitkin,2010-2014,Brain and other nervous system,All Ages,All,8,80137,6.5 (UR),TRUE,(2.3 - 15.3),2.3,15.3
27001,Aitkin,2015-2019,Lung and bronchus,All Ages,All,140,79171,78,FALSE,(64.8 - 94.3),64.8,94.3
27001,Aitkin,2015-2019,Mesothelioma,All Ages,All,2,79171,1.1 (UR),TRUE,(0.1 - 7.4),0.1,7.4
27001,Aitkin,2015-2019,Colorectal,All Ages,All,49,79171,30.9,FALSE,(21.6 - 43.9),21.6,43.9
27001,Aitkin,2015-2019,Non-Hodgkin lymphoma,All Ages,All,30,79171,17,FALSE,(10.9 - 26.9),10.9,26.9
27001,Aitkin,2010-2014,Kidney,All Ages,All,29,80137,23.3,FALSE,(13.9 - 37.1),13.9,37.1
27001,Aitkin,2015-2019,Kidney,All Ages,All,23,79171,17.2,FALSE,(9.2 - 29.8),9.2,29.8
27001,Aitkin,2010-2014,Chronic lymphocytic leukemia,All Ages,All,12,80137,7.1,FALSE,(3.6 - 14.5),3.6,14.5
27001,Aitkin,2015-2019,Leukemia,All Ages,All,23,79171,17.5,FALSE,(9.6 - 29.8),9.6,29.8
27001,Aitkin,2015-2019,Larynx,All Ages,All,5,79171,3.3 (UR),TRUE,(0.9 - 10.4),0.9,10.4
27001,Aitkin,2010-2014,Leukemia,All Ages,All,27,80137,21,FALSE,(12.6 - 33.6),12.6,33.6
27001,Aitkin,2015-2019,All cancer types combined,All Ages,All,729,79171,449.5,FALSE,(412.3 - 490.0),412.3,490
27001,Aitkin,2015-2019,Acute myeloid leukemia,All Ages,All,5,79171,2.6 (UR),TRUE,(0.8 - 9.1),0.8,9.1
27001,Aitkin,2015-2019,Brain and other nervous system,All Ages,All,12,79171,10.8,FALSE,(4.6 - 21.8),4.6,21.8
27001,Aitkin,2010-2014,Colorectal,All Ages,All,52,80137,35.9,FALSE,(25.7 - 49.7),25.7,49.7
27001,Aitkin,2015-2019,Liver and bile duct,All Ages,All,18,79171,9.8,FALSE,(5.8 - 17.7),5.8,17.7
27001,Aitkin,2010-2014,Melanoma,All Ages,All,16,80137,14.7,FALSE,(7.7 - 26.1),7.7,26.1
27001,Aitkin,2010-2014,Acute myeloid leukemia,All Ages,All,9,80137,5.4 (UR),TRUE,(2.4 - 12.6),2.4,12.6
27001,Aitkin,2015-2019,Pancreas,All Ages,All,20,79171,10.8,FALSE,(6.6 - 18.8),6.6,18.8
27001,Aitkin,2010-2014,Non-Hodgkin lymphoma,All Ages,All,20,80137,13.8,FALSE,(7.5 - 24.2),7.5,24.2
27001,Aitkin,2015-2019,Chronic lymphocytic leukemia,All Ages,All,11,79171,6.1,FALSE,(2.9 - 13.6),2.9,13.6
27001,Aitkin,2015-2019,Thyroid,All Ages,All,7,79171,5.7 (UR),TRUE,(1.9 - 14.4),1.9,14.4
27001,Aitkin,2015-2019,Melanoma,All Ages,All,23,79171,16,FALSE,(8.9 - 27.4),8.9,27.4
27001,Aitkin,2010-2014,Liver and bile duct,All Ages,All,7,80137,4.2 (UR),TRUE,(1.7 - 11.0),1.7,11
27001,Aitkin,2010-2014,Bladder,All Ages,All,44,80137,26.9,FALSE,(19.0 - 38.2),19,38.2
27001,Aitkin,2010-2014,Mesothelioma,All Ages,All,6,80137,3.4 (UR),TRUE,(1.2 - 9.9),1.2,9.9
27001,Aitkin,2015-2019,Bladder,All Ages,All,35,79171,19.6,FALSE,(13.2 - 29.7),13.2,29.7
27001,Aitkin,2015-2019,Esophagus,All Ages,All,10,79171,5.8 (UR),TRUE,(2.6 - 13.2),2.6,13.2
27001,Aitkin,2010-2014,Oral and pharyngeal,All Ages,All,25,80137,15.3,FALSE,(9.4 - 24.8),9.4,24.8
27001,Aitkin,2010-2014,Thyroid,All Ages,All,5,80137,3.2 (UR),TRUE,(1.0 - 10.0),1,10
27001,Aitkin,2010-2014,Larynx,All Ages,All,3,80137,1.5 (UR),TRUE,(0.3 - 7.5),0.3,7.5
27001,Aitkin,2015-2019,Oral and pharyngeal,All Ages,All,33,79171,21.2,FALSE,(13.8 - 32.6),13.8,32.6
27003,Anoka,2010-2014,Melanoma,All Ages,All,469,1681377,27.1,FALSE,(24.6 - 29.7),24.6,29.7
27003,Anoka,2010-2014,Kidney,All Ages,All,316,1681377,18.1,FALSE,(16.1 - 20.3),16.1,20.3
27003,Anoka,2015-2019,Colorectal,All Ages,All,691,1751267,35.6,FALSE,(32.9 - 38.4),32.9,38.4
27003,Anoka,2010-2014,Oral and pharyngeal,All Ages,All,230,1681377,12.8,FALSE,(11.1 - 14.6),11.1,14.6
27003,Anoka,2015-2019,Thyroid,All Ages,All,247,1751267,13.8,FALSE,(12.1 - 15.6),12.1,15.6
27003,Anoka,2010-2014,Non-Hodgkin lymphoma,All Ages,All,417,1681377,25.8,FALSE,(23.3 - 28.5),23.3,28.5
27003,Anoka,2015-2019,Liver and bile duct,All Ages,All,189,1751267,9.5,FALSE,(8.2 - 11.0),8.2,11
27003,Anoka,2010-2014,Bladder,All Ages,All,401,1681377,25.8,FALSE,(23.2 - 28.5),23.2,28.5
27003,Anoka,2015-2019,Mesothelioma,All Ages,All,25,1751267,1.4,FALSE,(0.9 - 2.1),0.9,2.1
27003,Anoka,2015-2019,Acute myeloid leukemia,All Ages,All,119,1751267,6.2,FALSE,(5.1 - 7.5),5.1,7.5
27003,Anoka,2010-2014,Larynx,All Ages,All,52,1681377,3.1,FALSE,(2.3 - 4.2),2.3,4.2
27003,Anoka,2010-2014,All cancer types combined,All Ages,All,8182,1681377,482.6,FALSE,(471.8 - 493.6),471.8,493.6
27003,Anoka,2015-2019,Brain and other nervous system,All Ages,All,129,1751267,7.1,FALSE,(5.9 - 8.5),5.9,8.5
27003,Anoka,2015-2019,Lung and bronchus,All Ages,All,1320,1751267,67.4,FALSE,(63.7 - 71.3),63.7,71.3
27003,Anoka,2015-2019,Larynx,All Ages,All,61,1751267,2.9,FALSE,(2.2 - 3.7),2.2,3.7
27003,Anoka,2015-2019,Oral and pharyngeal,All Ages,All,271,1751267,13,FALSE,(11.5 - 14.8),11.5,14.8
27003,Anoka,2010-2014,Mesothelioma,All Ages,All,25,1681377,1.6,FALSE,(1.0 - 2.4),1,2.4
27003,Anoka,2015-2019,Bladder,All Ages,All,446,1751267,23.5,FALSE,(21.3 - 25.9),21.3,25.9
27003,Anoka,2010-2014,Pancreas,All Ages,All,191,1681377,11.4,FALSE,(9.8 - 13.3),9.8,13.3
27003,Anoka,2010-2014,Lung and bronchus,All Ages,All,1135,1681377,70.2,FALSE,(66.1 - 74.6),66.1,74.6
27003,Anoka,2010-2014,Chronic lymphocytic leukemia,All Ages,All,103,1681377,6.2,FALSE,(5.0 - 7.6),5,7.6
27003,Anoka,2015-2019,Kidney,All Ages,All,381,1751267,19,FALSE,(17.1 - 21.1),17.1,21.1
27003,Anoka,2015-2019,Leukemia,All Ages,All,350,1751267,18.3,FALSE,(16.4 - 20.4),16.4,20.4
27003,Anoka,2015-2019,All cancer types combined,All Ages,All,9598,1751267,486.5,FALSE,(476.5 - 496.7),476.5,496.7
27003,Anoka,2010-2014,Leukemia,All Ages,All,269,1681377,16.6,FALSE,(14.6 - 18.7),14.6,18.7
27003,Anoka,2010-2014,Colorectal,All Ages,All,665,1681377,41.4,FALSE,(38.2 - 44.8),38.2,44.8
27003,Anoka,2010-2014,Acute myeloid leukemia,All Ages,All,76,1681377,4.6,FALSE,(3.6 - 5.9),3.6,5.9
27003,Anoka,2010-2014,Esophagus,All Ages,All,87,1681377,5.3,FALSE,(4.2 - 6.6),4.2,6.6
27003,Anoka,2015-2019,Pancreas,All Ages,All,263,1751267,13.9,FALSE,(12.2 - 15.7),12.2,15.7
27003,Anoka,2015-2019,Melanoma,All Ages,All,635,1751267,32.7,FALSE,(30.1 - 35.5),30.1,35.5
27003,Anoka,2010-2014,Liver and bile duct,All Ages,All,121,1681377,6.7,FALSE,(5.5 - 8.1),5.5,8.1
27003,Anoka,2015-2019,Chronic lymphocytic leukemia,All Ages,All,144,1751267,7.2,FALSE,(6.1 - 8.6),6.1,8.6
27003,Anoka,2010-2014,Brain and other nervous system,All Ages,All,118,1681377,7,FALSE,(5.7 - 8.4),5.7,8.4
27003,Anoka,2015-2019,Esophagus,All Ages,All,111,1751267,5.5,FALSE,(4.5 - 6.6),4.5,6.6
27003,Anoka,2010-2014,Thyroid,All Ages,All,246,1681377,13.7,FALSE,(12.0 - 15.6),12,15.6
27003,Anoka,2015-2019,Non-Hodgkin lymphoma,All Ages,All,420,1751267,21.5,FALSE,(19.5 - 23.8),19.5,23.8
27005,Becker,2010-2014,Kidney,All Ages,All,33,164743,16,FALSE,(10.8 - 23.0),10.8,23
27005,Becker,2015-2019,Larynx,All Ages,All,5,170057,2.0 (UR),TRUE,(0.6 - 5.1),0.6,5.1
27005,Becker,2010-2014,Bladder,All Ages,All,55,164743,23.4,FALSE,(17.6 - 30.8),17.6,30.8
27005,Becker,2010-2014,Esophagus,All Ages,All,12,164743,4.9,FALSE,(2.5 - 9.0),2.5,9
27005,Becker,2015-2019,Lung and bronchus,All Ages,All,158,170057,59.5,FALSE,(50.4 - 69.9),50.4,69.9
27005,Becker,2015-2019,Brain and other nervous system,All Ages,All,14,170057,5.8,FALSE,(3.0 - 10.3),3,10.3
27005,Becker,2015-2019,Thyroid,All Ages,All,46,170057,24.2,FALSE,(17.3 - 33.0),17.3,33
27005,Becker,2015-2019,All cancer types combined,All Ages,All,1211,170057,491.9,FALSE,(463.2 - 522.2),463.2,522.2
27005,Becker,2010-2014,Brain and other nervous system,All Ages,All,17,164743,8.1,FALSE,(4.6 - 13.4),4.6,13.4
27005,Becker,2015-2019,Esophagus,All Ages,All,17,170057,6.9,FALSE,(4.0 - 11.4),4,11.4
27005,Becker,2010-2014,All cancer types combined,All Ages,All,986,164743,445,FALSE,(416.5 - 475.0),416.5,475
27005,Becker,2015-2019,Liver and bile duct,All Ages,All,24,170057,9.1,FALSE,(5.7 - 14.1),5.7,14.1
27005,Becker,2010-2014,Melanoma,All Ages,All,63,164743,30.1,FALSE,(22.9 - 39.1),22.9,39.1
27005,Becker,2010-2014,Thyroid,All Ages,All,33,164743,19.2,FALSE,(12.8 - 27.6),12.8,27.6
27005,Becker,2015-2019,Colorectal,All Ages,All,78,170057,33.6,FALSE,(26.1 - 42.7),26.1,42.7
27005,Becker,2010-2014,Liver and bile duct,All Ages,All,14,164743,5.8,FALSE,(3.1 - 10.2),3.1,10.2
27005,Becker,2015-2019,Melanoma,All Ages,All,90,170057,40.6,FALSE,(32.1 - 50.8),32.1,50.8
27005,Becker,2015-2019,Pancreas,All Ages,All,41,170057,15.9,FALSE,(11.3 - 22.0),11.3,22
27005,Becker,2010-2014,Acute myeloid leukemia,All Ages,All,9,164743,4.6 (UR),TRUE,(1.9 - 9.3),1.9,9.3
27005,Becker,2010-2014,Colorectal,All Ages,All,90,164743,42.2,FALSE,(33.6 - 52.4),33.6,52.4
27005,Becker,2015-2019,Leukemia,All Ages,All,46,170057,18.2,FALSE,(13.2 - 24.8),13.2,24.8
27005,Becker,2015-2019,Kidney,All Ages,All,48,170057,19.6,FALSE,(14.2 - 26.6),14.2,26.6
27005,Becker,2010-2014,Lung and bronchus,All Ages,All,120,164743,52.3,FALSE,(43.1 - 63.0),43.1,63
27005,Becker,2010-2014,Chronic lymphocytic leukemia,All Ages,All,14,164743,6.1,FALSE,(3.3 - 10.6),3.3,10.6
27005,Becker,2010-2014,Pancreas,All Ages,All,23,164743,10.1,FALSE,(6.3 - 15.6),6.3,15.6
27005,Becker,2015-2019,Bladder,All Ages,All,61,170057,25,FALSE,(18.8 - 32.6),18.8,32.6
27005,Becker,2010-2014,Mesothelioma,All Ages,All,2,164743,0.9 (UR),TRUE,(0.1 - 3.8),0.1,3.8
27005,Becker,2015-2019,Oral and pharyngeal,All Ages,All,32,170057,12.1,FALSE,(8.2 - 17.6),8.2,17.6
27005,Becker,2010-2014,Larynx,All Ages,All,9,164743,3.6 (UR),TRUE,(1.6 - 7.2),1.6,7.2
27005,Becker,2015-2019,Acute myeloid leukemia,All Ages,All,14,170057,5.7,FALSE,(3.0 - 10.0),3,10
27005,Becker,2015-2019,Mesothelioma,All Ages,All,3,170057,1.1 (UR),TRUE,(0.2 - 3.9),0.2,3.9
27005,Becker,2010-2014,Non-Hodgkin lymphoma,All Ages,All,48,164743,21.6,FALSE,(15.8 - 29.0),15.8,29
27005,Becker,2010-2014,Oral and pharyngeal,All Ages,All,33,164743,14.8,FALSE,(10.0 - 21.4),10,21.4
27005,Becker,2015-2019,Chronic lymphocytic leukemia,All Ages,All,23,170057,8.4,FALSE,(5.3 - 13.0),5.3,13
27005,Becker,2010-2014,Leukemia,All Ages,All,38,164743,18.9,FALSE,(13.1 - 26.6),13.1,26.6
27005,Becker,2015-2019,Non-Hodgkin lymphoma,All Ages,All,49,170057,19.4,FALSE,(14.2 - 26.1),14.2,26.1
27007,Beltrami,2010-2014,Leukemia,All Ages,All,31,225894,12.2,FALSE,(8.2 - 17.5),8.2,17.5
27007,Beltrami,2010-2014,Pancreas,All Ages,All,31,225894,12.6,FALSE,(8.5 - 18.1),8.5,18.1
27007,Beltrami,2015-2019,Larynx,All Ages,All,8,232013,2.5 (UR),TRUE,(1.0 - 5.1),1,5.1
27007,Beltrami,2015-2019,Mesothelioma,All Ages,All,3,232013,1.1 (UR),TRUE,(0.2 - 3.5),0.2,3.5
27007,Beltrami,2010-2014,Thyroid,All Ages,All,23,225894,10.8,FALSE,(6.7 - 16.4),6.7,16.4
27007,Beltrami,2010-2014,Kidney,All Ages,All,58,225894,24,FALSE,(18.0 - 31.3),18,31.3
27007,Beltrami,2010-2014,Liver and bile duct,All Ages,All,19,225894,6.6,FALSE,(4.0 - 10.5),4,10.5
27007,Beltrami,2015-2019,Bladder,All Ages,All,54,232013,20.1,FALSE,(14.9 - 26.4),14.9,26.4
27007,Beltrami,2010-2014,Esophagus,All Ages,All,11,225894,4.1,FALSE,(2.0 - 7.6),2,7.6
27007,Beltrami,2010-2014,Oral and pharyngeal,All Ages,All,40,225894,16.3,FALSE,(11.5 - 22.4),11.5,22.4
27007,Beltrami,2010-2014,Colorectal,All Ages,All,100,225894,41,FALSE,(33.2 - 50.1),33.2,50.1
27007,Beltrami,2010-2014,Acute myeloid leukemia,All Ages,All,10,225894,4.0 (UR),TRUE,(1.9 - 7.5),1.9,7.5
27007,Beltrami,2015-2019,Oral and pharyngeal,All Ages,All,44,232013,16,FALSE,(11.5 - 21.7),11.5,21.7
27007,Beltrami,2015-2019,Lung and bronchus,All Ages,All,211,232013,75.7,FALSE,(65.6 - 86.9),65.6,86.9
27007,Beltrami,2010-2014,Non-Hodgkin lymphoma,All Ages,All,44,225894,18.6,FALSE,(13.4 - 25.2),13.4,25.2
27007,Beltrami,2010-2014,Larynx,All Ages,All,4,225894,1.5 (UR),TRUE,(0.4 - 4.1),0.4,4.1
27007,Beltrami,2010-2014,Brain and other nervous system,All Ages,All,15,225894,6.5,FALSE,(3.5 - 10.9),3.5,10.9
27007,Beltrami,2015-2019,Acute myeloid leukemia,All Ages,All,12,232013,4.9,FALSE,(2.4 - 8.8),2.4,8.8
27007,Beltrami,2010-2014,Lung and bronchus,All Ages,All,161,225894,65.9,FALSE,(55.9 - 77.2),55.9,77.2
27007,Beltrami,2015-2019,Colorectal,All Ages,All,112,232013,44.1,FALSE,(36.0 - 53.4),36,53.4
27007,Beltrami,2010-2014,Melanoma,All Ages,All,62,225894,27.2,FALSE,(20.6 - 35.2),20.6,35.2
27007,Beltrami,2010-2014,Mesothelioma,All Ages,All,6,225894,2.3 (UR),TRUE,(0.8 - 5.3),0.8,5.3
27007,Beltrami,2015-2019,Chronic lymphocytic leukemia,All Ages,All,19,232013,6.9,FALSE,(4.0 - 11.1),4,11.1
27007,Beltrami,2015-2019,All cancer types combined,All Ages,All,1298,232013,492.3,FALSE,(464.8 - 520.9),464.8,520.9
27007,Beltrami,2015-2019,Leukemia,All Ages,All,43,232013,17.2,FALSE,(12.2 - 23.4),12.2,23.4
27007,Beltrami,2015-2019,Thyroid,All Ages,All,27,232013,13.6,FALSE,(8.8 - 19.9),8.8,19.9
27007,Beltrami,2010-2014,Bladder,All Ages,All,57,225894,22.6,FALSE,(17.0 - 29.4),17,29.4
27007,Beltrami,2015-2019,Esophagus,All Ages,All,12,232013,4.4,FALSE,(2.3 - 7.9),2.3,7.9
27007,Beltrami,2010-2014,All cancer types combined,All Ages,All,1142,225894,468.9,FALSE,(441.3 - 497.7),441.3,497.7
27007,Beltrami,2015-2019,Brain and other nervous system,All Ages,All,21,232013,8.1,FALSE,(5.0 - 12.6),5,12.6
27007,Beltrami,2015-2019,Kidney,All Ages,All,71,232013,30.5,FALSE,(23.6 - 38.7),23.6,38.7
27007,Beltrami,2015-2019,Non-Hodgkin lymphoma,All Ages,All,51,232013,19.3,FALSE,(14.2 - 25.7),14.2,25.7
27007,Beltrami,2015-2019,Liver and bile duct,All Ages,All,17,232013,5.6,FALSE,(3.2 - 9.2),3.2,9.2
27007,Beltrami,2010-2014,Chronic lymphocytic leukemia,All Ages,All,14,225894,5.5,FALSE,(3.0 - 9.4),3,9.4
27007,Beltrami,2015-2019,Pancreas,All Ages,All,43,232013,16.5,FALSE,(11.8 - 22.5),11.8,22.5
27007,Beltrami,2015-2019,Melanoma,All Ages,All,72,232013,26.4,FALSE,(20.4 - 33.6),20.4,33.6
27009,Benton,2010-2014,All cancer types combined,All Ages,All,873,193976,437.1,FALSE,(408.0 - 467.8),408,467.8
27009,Benton,2015-2019,Thyroid,All Ages,All,26,200643,13.5,FALSE,(8.8 - 19.9),8.8,19.9
27009,Benton,2015-2019,Liver and bile duct,All Ages,All,5,200643,1.9 (UR),TRUE,(0.6 - 4.7),0.6,4.7
27009,Benton,2010-2014,Brain and other nervous system,All Ages,All,14,193976,7.5,FALSE,(4.0 - 12.6),4,12.6
27009,Benton,2015-2019,Melanoma,All Ages,All,68,200643,32.7,FALSE,(25.2 - 41.6),25.2,41.6
27009,Benton,2010-2014,Melanoma,All Ages,All,48,193976,23.9,FALSE,(17.5 - 31.8),17.5,31.8
27009,Benton,2015-2019,Mesothelioma,All Ages,All,1,200643,0.5 (UR),TRUE,(0.0 - 2.8),0,2.8
27009,Benton,2010-2014,Kidney,All Ages,All,35,193976,17.1,FALSE,(11.9 - 24.0),11.9,24
27009,Benton,2015-2019,Larynx,All Ages,All,5,200643,2.2 (UR),TRUE,(0.7 - 5.2),0.7,5.2
27009,Benton,2010-2014,Mesothelioma,All Ages,All,2,193976,0.9 (UR),TRUE,(0.1 - 3.4),0.1,3.4
27009,Benton,2015-2019,Bladder,All Ages,All,54,200643,23.7,FALSE,(17.7 - 31.2),17.7,31.2
27009,Benton,2015-2019,Acute myeloid leukemia,All Ages,All,16,200643,7.7,FALSE,(4.4 - 12.7),4.4,12.7
27009,Benton,2010-2014,Esophagus,All Ages,All,9,193976,4.3 (UR),TRUE,(1.9 - 8.4),1.9,8.4
27009,Benton,2015-2019,Colorectal,All Ages,All,73,200643,33.3,FALSE,(25.9 - 42.2),25.9,42.2
27009,Benton,2010-2014,Colorectal,All Ages,All,75,193976,38.1,FALSE,(29.8 - 48.0),29.8,48
27009,Benton,2010-2014,Oral and pharyngeal,All Ages,All,18,193976,8.9,FALSE,(5.2 - 14.2),5.2,14.2
27009,Benton,2010-2014,Chronic lymphocytic leukemia,All Ages,All,15,193976,7.2,FALSE,(4.0 - 12.1),4,12.1
27009,Benton,2010-2014,Non-Hodgkin lymphoma,All Ages,All,48,193976,25.2,FALSE,(18.4 - 33.5),18.4,33.5
27009,Benton,2010-2014,Pancreas,All Ages,All,24,193976,12.3,FALSE,(7.8 - 18.4),7.8,18.4
27009,Benton,2015-2019,Esophagus,All Ages,All,13,200643,5.6,FALSE,(2.9 - 9.7),2.9,9.7
27009,Benton,2015-2019,Lung and bronchus,All Ages,All,111,200643,51.6,FALSE,(42.2 - 62.4),42.2,62.4
27009,Benton,2010-2014,Liver and bile duct,All Ages,All,3,193976,1.4 (UR),TRUE,(0.3 - 4.2),0.3,4.2
27009,Benton,2010-2014,Thyroid,All Ages,All,19,193976,9.2,FALSE,(5.5 - 14.5),5.5,14.5
27009,Benton,2015-2019,Brain and other nervous system,All Ages,All,10,200643,4.5 (UR),TRUE,(2.2 - 8.5),2.2,8.5
27009,Benton,2015-2019,Chronic lymphocytic leukemia,All Ages,All,13,200643,5.9,FALSE,(3.1 - 10.2),3.1,10.2
27009,Benton,2015-2019,All cancer types combined,All Ages,All,936,200643,428.1,FALSE,(400.5 - 457.2),400.5,457.2
27009,Benton,2015-2019,Oral and pharyngeal,All Ages,All,32,200643,15.2,FALSE,(10.3 - 21.6),10.3,21.6
27009,Benton,2010-2014,Leukemia,All Ages,All,35,193976,17.3,FALSE,(11.9 - 24.2),11.9,24.2
27009,Benton,2010-2014,Acute myeloid leukemia,All Ages,All,13,193976,6.3,FALSE,(3.3 - 11.0),3.3,11
27009,Benton,2015-2019,Leukemia,All Ages,All,39,200643,18.8,FALSE,(13.2 - 25.8),13.2,25.8
27009,Benton,2015-2019,Kidney,All Ages,All,35,200643,14.9,FALSE,(10.3 - 21.0),10.3,21
27009,Benton,2015-2019,Pancreas,All Ages,All,35,200643,15.6,FALSE,(10.8 - 21.9),10.8,21.9
27009,Benton,2010-2014,Lung and bronchus,All Ages,All,115,193976,59.3,FALSE,(48.7 - 71.4),48.7,71.4
27009,Benton,2010-2014,Bladder,All Ages,All,31,193976,15.9,FALSE,(10.7 - 22.7),10.7,22.7
27009,Benton,2015-2019,Non-Hodgkin lymphoma,All Ages,All,44,200643,19.7,FALSE,(14.2 - 26.6),14.2,26.6
27009,Benton,2010-2014,Larynx,All Ages,All,6,193976,3.1 (UR),TRUE,(1.1 - 6.8),1.1,6.8
27011,Big Stone,2010-2014,Oral and pharyngeal,All Ages,All,7,25769,18.3 (UR),TRUE,(6.3 - 43.3),6.3,43.3
27011,Big Stone,2015-2019,Chronic lymphocytic leukemia,All Ages,All,2,24980,3.2 (UR),TRUE,(0.3 - 20.4),0.3,20.4
27011,Big Stone,2010-2014,Mesothelioma,All Ages,All,0,25769,null (UR),TRUE, ,null,null
27011,Big Stone,2015-2019,Acute myeloid leukemia,All Ages,All,3,24980,6.0 (UR),TRUE,(1.1 - 24.5),1.1,24.5
27011,Big Stone,2010-2014,Thyroid,All Ages,All,1,25769,4.4 (UR),TRUE,(0.1 - 24.5),0.1,24.5
